race_number,circle,division,class_name,place_class,place_overall,boat_name,sail_number,design,owner,rating,finish_status,finish_time_utc,elapsed_sec,corrected_sec,elapsed_hms,corrected_hms,finish_local,retire_reason
1,Block Island Course,ORC,Class 1 ORC-DH,1,11,Thin Man,USA24,J/99,Todd Aven & Todd Diffee,0.9036,AOK,2026-05-23T23:55:19.000Z,129019.0,116582.0,35:50:19,32:23:02,2026-05-23 23:55:19,
1,Block Island Course,ORC,Class 1 ORC-DH,2,21,Abilyn,USA25559,J 120,Josh Reisberg,0.9735,AOK,2026-05-23T22:05:53.000Z,122453.0,119208.0,34:00:53,33:06:48,2026-05-23 22:05:53,
1,Block Island Course,ORC,Class 1 ORC-DH,3,22,Stratos,USA15833,Sun Fast 3300,Marcus Wunderlich,0.9218,AOK,2026-05-24T00:05:39.000Z,129639.0,119501.0,36:00:39,33:11:41,2026-05-24 00:05:39,
1,Block Island Course,ORC,Class 1 ORC-DH,4,25,Eventyr,USA61668,J/99,Michael Kohler,0.8956,AOK,2026-05-24T01:27:46.000Z,134566.0,120517.0,37:22:46,33:28:37,2026-05-24 01:27:46,
1,Block Island Course,ORC,Class 1 ORC-DH,5,27,Velocity2,USA22,J/99,Kevin Marks,0.9233,AOK,2026-05-24T00:27:44.000Z,130964.0,120919.0,36:22:44,33:35:19,2026-05-24 00:27:44,
1,Block Island Course,ORC,Class 6 ORC,1,1,Christopher Dragon XII,USA2277,Italia 11.98,Linda & Andrew Weiss,0.9404,AOK,2026-05-23T21:16:16.000Z,117676.0,110663.0,32:41:16,30:44:23,2026-05-23 21:16:16,
1,Block Island Course,ORC,Class 6 ORC,2,6,In Theory,USA61183,JPK 1080,Peter McWhinnie,0.9337,AOK,2026-05-23T22:27:32.000Z,121952.0,113867.0,33:52:32,31:37:47,2026-05-23 22:27:32,
1,Block Island Course,ORC,Class 6 ORC,3,7,Groupe 5,USA 26,Figaro 2,NEKA Sailing,0.9573,AOK,2026-05-23T21:48:15.000Z,119595.0,114488.0,33:13:15,31:48:08,2026-05-23 21:48:15,
1,Block Island Course,ORC,Class 6 ORC,4,10,SqueeZeplay,USA52240,IMX 40,Gregg Brinegar,0.953,AOK,2026-05-23T22:13:31.000Z,121111.0,115419.0,33:38:31,32:03:39,2026-05-23 22:13:31,
1,Block Island Course,ORC,Class 6 ORC,5,15,Save the Sound,USA167,J/99,Douglas McKeige McKeige,0.9264,AOK,2026-05-23T23:51:06.000Z,126966.0,117621.0,35:16:06,32:40:21,2026-05-23 23:51:06,
1,Block Island Course,ORC,Class 6 ORC,6,18,Zèlèe,GBR1030X,JPK 1030,Lindsey Lind,0.897,AOK,2026-05-24T01:10:52.000Z,131752.0,118182.0,36:35:52,32:49:42,2026-05-24 01:10:52,
1,Block Island Course,ORC,Class 6 ORC,7,23,SLEEPER,USAUSA 326,J/105,NEKA SAILING,0.9084,AOK,2026-05-24T01:09:54.000Z,131694.0,119631.0,36:34:54,33:13:51,2026-05-24 01:09:54,
1,Block Island Course,ORC,Class 6 ORC,8,29,Blue Skies,USA44022,Alden Skye,William Gunther,0.9264,AOK,2026-05-24T00:58:15.000Z,130995.0,121354.0,36:23:15,33:42:34,2026-05-24 00:58:15,
1,Block Island Course,ORC,Class 6 ORC,9,31,Ragana,USA52238,Cape Fear 38R,Darius Peleda,0.9425,AOK,2026-05-24T02:04:49.000Z,134989.0,127227.0,37:29:49,35:20:27,2026-05-24 02:04:49,
1,Block Island Course,ORC,Class 6 ORC,11,35,Inisharon,USA51003,Lyman Morse Seguin 49,Jim Murphy,,RET,,,,,,,RET
1,Block Island Course,ORC,Class 8 ORC,1,2,Loki,USA61220,J/122,David Rosow,0.963,AOK,2026-05-23T20:54:09.000Z,115149.0,110888.0,31:59:09,30:48:08,2026-05-23 20:54:09,
1,Block Island Course,ORC,Class 8 ORC,2,3,Zig Zag,USA12912,J 122,Andrew Clark,0.9757,AOK,2026-05-23T20:48:37.000Z,114817.0,112027.0,31:53:37,31:07:07,2026-05-23 20:48:37,
1,Block Island Course,ORC,Class 8 ORC,3,4,Quickdraw,USA104,J/111,Martin Zonnenberg,0.9616,AOK,2026-05-23T21:30:10.000Z,117310.0,112805.0,32:35:10,31:20:05,2026-05-23 21:30:10,
1,Block Island Course,ORC,Class 8 ORC,4,9,Skye,USA39534,Farr 395,Ty Anderson,0.9941,AOK,2026-05-23T21:07:12.000Z,115932.0,115248.0,32:12:12,32:00:48,2026-05-23 21:07:12,
1,Block Island Course,ORC,Class 8 ORC,5,12,Alibi,USA43968,J/120,John Sartorius,0.9792,AOK,2026-05-23T22:03:53.000Z,119333.0,116851.0,33:08:53,32:27:31,2026-05-23 22:03:53,
